plot_name,plot_type,x,y
plot_1.png,stairs,[0 1 2 3 4 5],[0.37454012 0.95071431 0.73199394 0.59865848 0.15601864]
plot_2.png,plot,"[ 0.          1.68421053  3.36842105  5.05263158  6.73684211  8.42105263
 10.10526316 11.78947368 13.47368421 15.15789474 16.84210526 18.52631579
 20.21052632 21.89473684 23.57894737 25.26315789 26.94736842 28.63157895
 30.31578947 32.        ]","[ 0.          0.84347795 -0.90617165  0.13004728  0.76645826 -0.95347456
  0.25788579  0.67642074 -0.98458326  0.38134425  0.5748946  -0.9989694
  0.49832581  0.46360422 -0.99638863  0.6068436   0.34443979 -0.97688478
  0.7050545   0.21942526]"
plot_3.png,scatter,[ 0.  3.  6.  9. 12. 15. 18. 21. 24. 27. 30. 33.],"[0.02058449 0.96990985 0.83244264 0.21233911 0.18182497 0.18340451
 0.30424224 0.52475643 0.43194502 0.29122914 0.61185289 0.13949386]"
plot_4.png,stairs,[0 1 2 3 4 5],[0.29214465 0.36636184 0.45606998 0.78517596 0.19967378]
plot_5.png,stairs,[0 1 2 3 4 5],[0.98323089 0.46676289 0.85994041 0.68030754 0.45049925]
plot_6.png,stack_plot,[1 2],"[[4 2]
 [4 4]
 [4 8]]"
plot_7.png,stack_plot,"[ 1  3  5  7  9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 41 43 45 47
 49 51]","[[ 4  4  3  4  3  4  1  4  3  3  2  1  4  2  4  4  2  2  2  2  2  4  2  1
   3  2]
 [ 4  8  4  4  4  8  4  6  8  6  8  4  6  8  2  4  8  2  8  2  4  6  2  8
   4  2]
 [16 16 16  4  4  4 12  4  4  4 12  4 16  4 16 16 16 12 12 12  4 16 12 12
   4 12]]"
plot_8.png,plot,"[ 0.          0.29787234  0.59574468  0.89361702  1.19148936  1.4893617
  1.78723404  2.08510638  2.38297872  2.68085106  2.9787234   3.27659574
  3.57446809  3.87234043  4.17021277  4.46808511  4.76595745  5.06382979
  5.36170213  5.65957447  5.95744681  6.25531915  6.55319149  6.85106383
  7.14893617  7.44680851  7.74468085  8.04255319  8.34042553  8.63829787
  8.93617021  9.23404255  9.53191489  9.82978723 10.12765957 10.42553191
 10.72340426 11.0212766  11.31914894 11.61702128 11.91489362 12.21276596
 12.5106383  12.80851064 13.10638298 13.40425532 13.70212766 14.        ]","[28  7 73 72 12 34 33 48 23 62 88 37 99 44 86 91 35 65 99 47 78  3  1  5
 90 14 27  9 79 15 90 42 77 51 63 96 52 96  4 94 23 15 43 29 36 13 32 71]"
plot_9.png,scatter,"[ 0.          0.72340426  1.44680851  2.17021277  2.89361702  3.61702128
  4.34042553  5.06382979  5.78723404  6.5106383   7.23404255  7.95744681
  8.68085106  9.40425532 10.12765957 10.85106383 11.57446809 12.29787234
 13.0212766  13.74468085 14.46808511 15.19148936 15.91489362 16.63829787
 17.36170213 18.08510638 18.80851064 19.53191489 20.25531915 20.9787234
 21.70212766 22.42553191 23.14893617 23.87234043 24.59574468 25.31914894
 26.04255319 26.76595745 27.4893617  28.21276596 28.93617021 29.65957447
 30.38297872 31.10638298 31.82978723 32.55319149 33.27659574 34.
 34.72340426 35.44680851 36.17021277 36.89361702 37.61702128 38.34042553
 39.06382979 39.78723404 40.5106383  41.23404255 41.95744681 42.68085106
 43.40425532 44.12765957 44.85106383 45.57446809 46.29787234 47.0212766
 47.74468085 48.46808511 49.19148936 49.91489362 50.63829787 51.36170213
 52.08510638 52.80851064 53.53191489 54.25531915 54.9787234  55.70212766
 56.42553191 57.14893617 57.87234043 58.59574468 59.31914894 60.04255319
 60.76595745 61.4893617  62.21276596 62.93617021 63.65957447 64.38297872
 65.10638298 65.82978723 66.55319149 67.27659574 68.        ]","[8.80467839e-01 6.24354048e-01 2.95633686e-01 1.05494260e-01
 4.56534570e-01 2.18440437e-01 4.16509948e-01 8.83280259e-01
 3.24345021e-01 1.22087955e-01 3.56297838e-01 9.06828442e-01
 2.72132249e-01 6.47690121e-01 5.20376995e-04 3.52568856e-01
 3.04781258e-01 1.64655853e-01 5.34089419e-01 4.84829971e-01
 6.92436033e-01 2.69412334e-01 2.44125522e-01 1.68291042e-01
 2.18764220e-01 5.58102002e-01 4.03836171e-01 6.48922471e-02
 2.53915414e-01 2.46876063e-01 6.96304273e-01 7.12270590e-01
 1.48086930e-01 9.97740485e-01 2.66781014e-01 9.76614956e-01
 4.11037013e-01 3.30507329e-02 3.45071248e-01 6.34351345e-01
 6.80705452e-01 5.30934583e-01 4.47783165e-01 5.52893089e-01
 5.92696724e-01 8.08533263e-02 3.69654456e-01 2.42159938e-01
 8.03139756e-01 4.70300634e-01 9.83423141e-01 3.98824442e-01
 8.16431873e-01 7.98345125e-01 1.50717544e-01 5.08198777e-01
 6.95812807e-01 8.58358805e-01 3.25958905e-01 2.20241048e-01
 7.11149532e-01 8.09501046e-01 3.48665987e-01 9.61765511e-02
 9.40523264e-01 3.97572021e-01 5.17751351e-01 8.37710106e-01
 6.75690117e-01 7.35216119e-01 2.09071621e-01 5.41447974e-01
 6.95784399e-01 2.28550022e-01 1.74954927e-01 9.82168343e-01
 5.16635891e-01 2.60829175e-01 9.96253700e-01 9.65419351e-01
 5.58293454e-01 8.82636343e-01 1.88707108e-01 2.78871353e-01
 7.00357830e-01 8.46661142e-01 8.56324292e-01 4.04508127e-01
 8.87770099e-01 8.50928449e-01 9.35634994e-01 7.85340651e-01
 6.68988255e-01 5.80686621e-01 3.72282767e-01]"
plot_10.png,stack_plot,"[ 1  4  7 10 13 16 19 22 25 28 31 34 37 40 43 46 49 52 55 58 61 64 67 70
 73 76 79 82 85]","[[ 1  1  2  4  2  2  2  2  3  4  1  1  4  1  4  1  2  1  4  4  4  4  4  3
   3  1  4  1  4]
 [ 8  6  6  4  6  4  4  4  4  4  2  6  4  8  6  6  4  2  4  2  8  6  8  2
   2  8  2  8  6]
 [16 12 16  4 16  4 16 16  8  4  8  4  8 12 16  4  4 16  4  4  8  4 12 12
  16  4 16 12  4]]"
